Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W923NGDP_R%,TAJIKISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7.1,-28.9,-11.1,-21.4,-12.5,-4.4,1.7,5.3,3.7,8.3,5,5
"World Economic Outlook, May 2001",Annual percent change,W738NGDP_R%,TANZANIA,"Gross domestic product, constant prices",5.8,4.18,6.72,3.06,2.5,5.69,6.61,0.4,2.13,2.91,3.27,1.21,0.06,-0.88,0.46,3.98,5.62,6.23,5.9,3.77,7.04,2.07,0.58,1.21,1.57,3.57,4.54,3.52,3.35,4.75,5.08,5.35,5.65
"World Economic Outlook, May 2001",Annual percent change,W578NGDP_R%,THAILAND,"Gross domestic product, constant prices",6.49,4.66,4.8,9.43,5.44,7.14,8.71,7.21,10.09,6.06,5.76,5.91,5.35,5.58,5.76,4.64,5.53,9.52,13.29,12.19,11.62,8.11,8.08,8.38,8.95,9.31,5.88,-1.45,-10.77,4.22,4.31,2.96,4.5
"World Economic Outlook, May 2001",Annual percent change,W742NGDP_R%,TOGO,"Gross domestic product, constant prices",3.6,6.05,3.78,-4.17,4.25,-0.62,-0.47,5.56,6.02,5.4,1.71,-3.42,-3.71,-5.16,5.88,3.72,3.26,-2.48,10.12,4.1,-0.16,-0.7,-3.98,-16.86,17.49,6.94,9.67,4.25,-2.12,2.69,-0.47,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W866NGDP_R%,TONGA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.71,1.93,1.77,6.57,2.12,2.99,-1.88,0.39,-2.04,6.41,0.25,3.74,4.95,4.8,-1.43,-4.39,-1.5,0,1.5,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W369NGDP_R%,TRINIDAD AND TOBAGO,"Gross domestic product, constant prices",6.56,2.2,3.5,3,3.7,2.5,7.77,8.03,-4.24,7.81,1.86,-1.04,3.81,-10.31,-5.75,-4.12,-3.28,-4.56,-4.01,-0.73,1.51,2.68,-1.69,-1.42,3.57,4,3.79,3.11,4.77,6.76,5.62,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W744NGDP_R%,TUNISIA,"Gross domestic product, constant prices",7.43,11.04,17.81,0.37,5.64,7,7.93,5.6,6.45,6.6,7.4,5.52,-0.48,4.67,5.73,5.67,-1.45,6.7,0.07,2.58,7.07,3.9,7.81,2.19,3.18,2.35,7.15,5.44,4.76,6.25,5.02,6.24,6.15
"World Economic Outlook, May 2001",Annual percent change,W186NGDP_R%,TURKEY,"Gross domestic product, constant prices",4.89,9.06,6.57,4.42,8.52,8.89,8.45,7.47,2.83,-0.87,-0.78,4.36,3.43,4.76,6.82,4.26,6.94,9.58,2.32,0.29,9.18,0.8,5.04,7.65,-4.67,8.07,6.95,7.5,3.1,-4.7,7.2,-2.6,4.9
"World Economic Outlook, May 2001",Annual percent change,W925NGDP_R%,TURKMENISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4.7,-5.3,-10,-17.3,-7.2,-6.7,-11.3,5,16,17.6,10,6
"World Economic Outlook, May 2001",Annual percent change,W746NGDP_R%,UGANDA,"Gross domestic product, constant prices",1.51,2.93,0.67,-0.61,0.17,-2.02,0.73,1.57,5.06,-7.59,-3.39,3.86,8.2,4.9,-3,-3,0.95,4,8.29,6.4,6.5,7.74,2.19,8.65,6.4,11.95,8.56,5.14,4.56,7.61,4.6,4.95,7.24
