Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W913PCPI%,BELARUS,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9.37,83.51,969.02,1190.2,2434.11,709.3,52.7,63.8,73,293.7,169,75,23.7
"World Economic Outlook, May 2001",Annual percent change,W124PCPI%,BELGIUM,Inflation,3.91,4.34,5.45,6.96,12.68,12.77,9.16,7.11,4.47,4.47,6.66,7.63,8.72,7.66,6.35,4.87,1.3,1.55,1.17,3.1,3.46,3.21,2.43,2.75,2.39,1.45,1.78,1.5,0.91,1.1,2.9,2.2,1.3
"World Economic Outlook, May 2001",Annual percent change,W339PCPI%,BELIZE,Inflation,21.41,18.63,20.73,66.96,20.78,20.77,-2.9,12.15,4.87,-11.82,7.05,11.02,6.84,5.39,3.85,3.28,0.83,1.99,3.16,2.15,3,3.2,2.4,1.4,2.5,2.91,6.3,1.1,-0.87,-1.03,1.97,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W638PCPI%,BENIN,Inflation,6.32,2.77,3.9,6.87,14.42,-34.41,8.26,9.86,6.84,10.27,10.9,0.8,4.06,-6.07,10.27,1.15,0.41,-1.34,3.44,-0.2,1.11,2.1,5.9,0.44,38.54,14.46,4.92,3.8,5.76,0.35,4.2,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W514PCPI%,BHUTAN,Inflation,5.65,4.47,6.02,12.96,17.11,0,0,0,-15.87,6.02,12.5,6.26,11,18.02,7.03,1.88,9.95,6.37,10.08,8.78,10,12.28,15.98,11.21,6.99,9.5,8.79,6.51,10.58,6.78,4.81,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W218PCPI%,BOLIVIA,Inflation,3.84,3.7,6.51,31.49,62.83,7.98,4.5,8.1,10.36,19.93,47.06,32.13,123.54,275.59,1281.35,11749.63,276.34,14.58,16,15.2,17.1,22.4,12.1,8.5,7.9,10.2,12.4,4.7,7.7,2.2,4.6,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W963PCPI%,BOSNIA AND HERCEGOVINIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.2,-13.7,9.5,0.6,3.4,4.6,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W616PCPI%,BOTSWANA,Inflation,4.06,5.62,6.5,9.57,11.52,13.51,11.73,13.17,9,11.56,12.5,29.51,11.01,10.53,8.49,8.12,28.79,9.8,8.35,11.58,11.4,11.76,16.15,14.35,10.54,10.51,10.07,8.81,6.51,7.19,5.63,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W223PCPI%,BRAZIL,Inflation,22.26,20.14,16.52,12.65,27.59,28.92,42.01,43.65,38.7,53.92,132.62,101.72,100.54,135.03,192.12,225.99,147.14,228.34,629.11,1430.72,2947.73,477.39,1022.45,1927.38,2075.83,66.01,15.76,6.93,3.2,4.86,7,5.46,3.75
"World Economic Outlook, May 2001",Annual percent change,W918PCPI%,BULGARIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.4,23.9,333.5,82,72.8,96,62.1,123,1061.21,18.78,2.57,10.39,8.53,3.17
"World Economic Outlook, May 2001",Annual percent change,W748PCPI%,BURKINA FASO,Inflation,1.76,2.1,-2.97,7.61,8.7,18.78,-8.4,30.01,7.96,15.21,12.05,7.75,10.05,5.13,4.52,-2.7,-2.7,-2.85,4.19,-0.32,-0.81,2.5,-1.99,0.61,24.72,7.77,6.11,2.32,4.97,-1.1,-0.2,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W618PCPI%,BURUNDI,Inflation,-0.3,3.8,3.85,5.94,15.76,15.81,6.79,6.85,23.43,25.34,1.2,12.17,5.87,8.15,14.32,3.8,1.68,7.11,4.49,11.66,7,9,4.5,9.71,14.71,19.36,26.42,31.12,12.52,3.63,31.86,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W522PCPI%,CAMBODIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,55.3,141.8,197,75,114.32,9.41,1.29,7.15,7.96,14.78,4.03,1,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W622PCPI%,CAMEROON,Inflation,5.84,4.02,8.09,10.39,17.23,13.55,9.93,14.7,14.76,8.96,7.7,7.53,15.33,20.51,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.89,-3.72,12.66,25.8,6.61,5.15,-0.04,2.9,0.8,2,2
"World Economic Outlook, May 2001",Annual percent change,W156PCPI%,CANADA,Inflation,3.33,2.85,4.81,7.61,10.92,10.74,7.55,8.01,8.95,9.13,10.17,12.46,10.68,5.86,4.34,3.95,4.15,4.39,4.02,5.01,4.77,5.6,1.51,1.83,0.2,1.94,1.59,1.62,1,1.74,2.73,2.99,2.16
"World Economic Outlook, May 2001",Annual percent change,W624PCPI%,CAPE VERDE,Inflation,4.39,5.6,5.47,10.06,1.43,40.84,8.2,11.18,13.3,6.88,15.08,20.59,21.1,20.26,14.07,9.41,8.02,7.59,4.99,5.34,10.65,7.59,13.43,5.83,3.34,8.41,6.01,8.57,4.38,4.36,-2.48,n.a.,n.a.
